dataset,selector,pruning_rate,acc_mean,acc_std,f1_mean,f1_std,R_mean,R_std
cifar10,gaussian,0.0,34.27,0.58,33.22,0.53,13.11,2.21
cifar10,gaussian,0.1,35.28,0.45,34.75,0.95,13.8,3.7
cifar10,gaussian,0.3,35.32,1.33,34.9,1.84,13.92,3.41
cifar10,gaussian,0.5,35.39,0.85,34.92,1.16,13.91,3.24
cifar10,gaussian,0.7,34.47,0.29,33.82,0.67,14.01,2.79
cifar10,gaussian,0.9,32.64,0.93,31.12,1.49,15.82,6.93
cifar10,kcenter,0.0,45.22,0.08,43.52,0.34,5.6,0.22
cifar10,kcenter,0.1,45.4,0.23,44.1,0.62,5.61,0.64
cifar10,kcenter,0.3,45.15,0.27,43.86,0.69,5.71,0.33
cifar10,kcenter,0.5,45.24,0.25,43.95,0.63,5.65,0.48
cifar10,kcenter,0.7,45.3,0.3,44.05,0.4,5.48,0.43
cifar10,kcenter,0.9,44.07,0.15,42.53,0.12,5.89,0.39
cifar10,margin,0.0,34.98,0.85,34.25,1.05,15.23,4.77
cifar10,margin,0.1,36.12,0.46,35.55,0.38,14.49,4.5
cifar10,margin,0.3,36.11,0.18,35.5,0.16,14.38,4.28
cifar10,margin,0.5,35.97,0.2,35.32,0.32,14.46,4.0
cifar10,margin,0.7,36.02,0.41,35.4,0.34,15.11,4.15
cifar10,margin,0.9,33.33,0.71,31.95,0.94,16.32,4.62
cifar10,random,0.0,45.44,0.82,44.43,0.86,9.31,1.08
cifar10,random,0.1,45.81,0.57,44.99,0.72,8.86,0.95
cifar10,random,0.3,45.97,0.98,45.27,1.1,9.32,1.04
cifar10,random,0.5,46.01,0.63,45.2,0.85,8.58,1.21
cifar10,random,0.7,45.73,0.6,44.95,0.76,8.08,0.69
cifar10,random,0.9,44.6,0.45,43.74,0.47,8.01,0.98
cifar100,gaussian,0.0,8.42,0.25,6.66,0.36,15.48,1.67
cifar100,gaussian,0.1,9.61,0.55,8.14,0.79,18.88,1.86
cifar100,gaussian,0.3,9.67,0.52,8.17,0.75,19.19,2.33
cifar100,gaussian,0.5,9.63,0.68,8.15,0.98,19.5,2.55
cifar100,gaussian,0.7,9.29,0.34,7.64,0.58,19.46,2.25
cifar100,gaussian,0.9,8.52,0.12,6.64,0.25,20.12,3.52
cifar100,kcenter,0.0,14.66,0.48,11.59,0.27,6.45,0.34
cifar100,kcenter,0.1,15.89,0.2,13.07,0.17,7.31,0.47
cifar100,kcenter,0.3,16.05,0.24,13.24,0.14,7.29,0.65
cifar100,kcenter,0.5,15.66,0.44,12.9,0.38,7.57,0.73
cifar100,kcenter,0.7,15.46,0.3,12.5,0.21,7.63,0.71
cifar100,kcenter,0.9,14.43,0.44,11.04,0.46,7.32,0.29
cifar100,margin,0.0,8.64,0.33,6.9,0.41,16.45,2.42
cifar100,margin,0.1,9.45,0.19,8.04,0.34,18.27,2.03
cifar100,margin,0.3,9.62,0.21,8.22,0.39,18.97,1.98
cifar100,margin,0.5,9.64,0.23,8.21,0.41,18.12,1.84
cifar100,margin,0.7,9.33,0.13,7.76,0.27,19.03,2.23
cifar100,margin,0.9,8.84,0.13,6.96,0.19,19.13,2.71
cifar100,random,0.0,14.92,0.37,12.5,0.55,10.75,1.69
cifar100,random,0.1,15.96,0.35,13.93,0.58,12.63,0.86
cifar100,random,0.3,15.94,0.29,13.93,0.47,13.0,1.11
cifar100,random,0.5,15.75,0.34,13.62,0.45,13.04,1.29
cifar100,random,0.7,15.72,0.28,13.33,0.44,13.0,0.96
cifar100,random,0.9,14.88,0.29,11.92,0.35,13.58,1.49
