dataset,selector,pruning_rate,seed,acc,f1,coverage_R,sigma,timestamp
cifar10,random,0.0,42,46.32,45.38,8.849444,,2026-06-07 14:06:43
cifar10,random,0.0,123,44.7,43.72,10.545479,,2026-06-07 14:07:38
cifar10,random,0.0,456,45.3,44.18,8.525336,,2026-06-07 14:08:33
cifar10,random,0.1,42,46.26,45.66,7.767026,,2026-06-07 14:09:45
cifar10,random,0.1,123,45.16,44.23,9.447659,,2026-06-07 14:10:52
cifar10,random,0.1,456,46.0,45.07,9.373883,,2026-06-07 14:11:58
cifar10,random,0.3,42,46.85,46.33,8.121998,,2026-06-07 14:13:04
cifar10,random,0.3,123,44.92,44.13,9.908921,,2026-06-07 14:14:27
cifar10,random,0.3,456,46.14,45.36,9.936033,,2026-06-07 14:15:50
cifar10,random,0.5,42,46.63,46.08,7.270627,,2026-06-07 14:17:12
cifar10,random,0.5,123,45.37,44.38,8.794205,,2026-06-07 14:18:35
cifar10,random,0.5,456,46.03,45.14,9.666395,,2026-06-07 14:19:42
cifar10,random,0.7,42,46.38,45.77,7.416274,,2026-06-07 14:20:49
cifar10,random,0.7,123,45.19,44.28,8.041252,,2026-06-07 14:21:55
cifar10,random,0.7,456,45.63,44.79,8.787115,,2026-06-07 14:23:01
cifar10,random,0.9,42,44.64,44.08,6.9067,,2026-06-07 14:24:07
cifar10,random,0.9,123,44.13,43.2,8.788108,,2026-06-07 14:25:13
cifar10,random,0.9,456,45.03,43.94,8.348063,,2026-06-07 14:26:19
cifar10,margin,0.0,42,35.5,34.63,9.823019,,2026-06-07 14:27:24
cifar10,margin,0.0,123,35.44,35.06,18.826015,,2026-06-07 14:28:29
cifar10,margin,0.0,456,34.0,33.07,17.053234,,2026-06-07 14:29:34
cifar10,margin,0.1,42,36.44,35.83,10.439725,,2026-06-07 14:30:50
cifar10,margin,0.1,123,35.59,35.12,19.325871,,2026-06-07 14:32:05
cifar10,margin,0.1,456,36.32,35.7,13.693204,,2026-06-07 14:33:21
cifar10,margin,0.3,42,36.27,35.68,10.373125,,2026-06-07 14:34:37
cifar10,margin,0.3,123,35.92,35.36,18.894297,,2026-06-07 14:35:53
cifar10,margin,0.3,456,36.14,35.47,13.868814,,2026-06-07 14:37:10
cifar10,margin,0.5,42,35.92,35.24,10.639358,,2026-06-07 14:38:27
cifar10,margin,0.5,123,35.79,35.05,18.62542,,2026-06-07 14:39:41
cifar10,margin,0.5,456,36.19,35.68,14.108604,,2026-06-07 14:40:56
cifar10,margin,0.7,42,36.01,35.4,11.648055,,2026-06-07 14:42:12
cifar10,margin,0.7,123,35.61,35.06,19.716105,,2026-06-07 14:43:27
cifar10,margin,0.7,456,36.43,35.73,13.968684,,2026-06-07 14:44:42
cifar10,margin,0.9,42,32.53,30.89,11.924073,,2026-06-07 14:45:56
cifar10,margin,0.9,123,33.88,32.65,21.136507,,2026-06-07 14:47:10
cifar10,margin,0.9,456,33.59,32.32,15.899725,,2026-06-07 14:48:24
cifar10,kcenter,0.0,42,45.23,43.68,5.34375,,2026-06-07 14:50:22
cifar10,kcenter,0.0,123,45.13,43.74,5.762244,,2026-06-07 14:52:21
cifar10,kcenter,0.0,456,45.29,43.13,5.680347,,2026-06-07 14:54:13
cifar10,kcenter,0.1,42,45.58,44.42,5.271655,,2026-06-07 14:56:19
cifar10,kcenter,0.1,123,45.47,44.5,6.354846,,2026-06-07 14:58:35
cifar10,kcenter,0.1,456,45.14,43.38,5.208556,,2026-06-07 15:00:44
cifar10,kcenter,0.3,42,45.26,44.16,5.332654,,2026-06-07 15:02:59
cifar10,kcenter,0.3,123,45.34,44.35,5.880847,,2026-06-07 15:05:08
cifar10,kcenter,0.3,456,44.84,43.08,5.928868,,2026-06-07 15:07:30
cifar10,kcenter,0.5,42,45.28,44.23,5.170464,,2026-06-07 15:09:44
cifar10,kcenter,0.5,123,45.46,44.39,6.129405,,2026-06-07 15:11:53
cifar10,kcenter,0.5,456,44.97,43.22,5.660515,,2026-06-07 15:14:02
cifar10,kcenter,0.7,42,44.99,43.91,5.108823,,2026-06-07 15:16:12
cifar10,kcenter,0.7,123,45.58,44.5,5.952303,,2026-06-07 15:18:23
cifar10,kcenter,0.7,456,45.34,43.75,5.370468,,2026-06-07 15:20:39
cifar10,kcenter,0.9,42,43.95,42.56,5.75619,,2026-06-07 15:22:49
cifar10,kcenter,0.9,123,44.24,42.64,6.331891,,2026-06-07 15:25:00
cifar10,kcenter,0.9,456,44.01,42.4,5.580567,,2026-06-07 15:27:09
cifar10,gaussian,0.0,42,34.81,33.55,11.821446,8.121229,2026-06-07 15:28:18
cifar10,gaussian,0.0,123,34.36,33.49,15.666361,8.182531,2026-06-07 15:29:27
cifar10,gaussian,0.0,456,33.65,32.61,11.856079,8.037109,2026-06-07 15:30:35
