dataset,selector,pruning_rate,condition,acc_mean,acc_std,f1_mean,f1_std,R_mean,R_std,wall_clock_mean
cifar10,gaussian,0.3,A,35.317,1.333,34.897,1.835,13.917,3.409,76.4
cifar10,gaussian,0.3,B,51.37,0.608,51.087,0.412,14.357,0.507,44.133
cifar10,gaussian,0.5,A,35.39,0.845,34.917,1.16,13.911,3.235,77.3
cifar10,gaussian,0.5,B,50.473,0.484,50.19,0.547,13.946,0.654,44.167
cifar10,gaussian,0.7,A,34.47,0.289,33.823,0.673,14.013,2.793,76.867
cifar10,gaussian,0.7,B,50.743,0.649,50.0,0.149,12.153,0.254,44.267
cifar10,kcenter,0.3,A,45.147,0.269,43.863,0.685,5.714,0.331,125.933
cifar10,kcenter,0.3,B,52.133,0.49,51.117,0.669,5.134,0.203,107.533
cifar10,kcenter,0.5,A,45.237,0.248,43.947,0.634,5.653,0.48,127.767
cifar10,kcenter,0.5,B,52.337,0.379,51.413,0.215,5.204,0.021,99.4
cifar10,kcenter,0.7,A,45.303,0.297,44.053,0.395,5.477,0.432,132.933
cifar10,kcenter,0.7,B,51.633,0.548,50.347,0.627,5.838,0.44,104.167
cifar10,margin,0.3,A,36.11,0.177,35.503,0.163,14.379,4.283,75.1
cifar10,margin,0.3,B,51.153,0.857,51.077,0.74,15.0,1.295,43.1
cifar10,margin,0.5,A,35.967,0.204,35.323,0.323,14.458,4.004,73.9
cifar10,margin,0.5,B,50.67,0.2,50.507,0.159,14.337,0.905,43.067
cifar10,margin,0.7,A,36.017,0.41,35.397,0.335,15.111,4.154,73.533
cifar10,margin,0.7,B,50.977,0.674,50.313,0.578,12.979,0.088,43.267
cifar10,random,0.3,A,45.97,0.976,45.273,1.103,9.322,1.04,65.733
cifar10,random,0.3,B,53.313,0.24,52.747,0.393,12.082,1.425,34.033
cifar10,random,0.5,A,46.01,0.63,45.2,0.852,8.577,1.213,66.4
cifar10,random,0.5,B,53.07,0.072,52.453,0.223,12.589,0.447,33.867
cifar10,random,0.7,A,45.733,0.602,44.947,0.757,8.082,0.686,66.233
cifar10,random,0.7,B,52.433,0.172,51.743,0.314,11.51,0.576,33.867
cifar100,gaussian,0.3,A,9.67,0.519,8.167,0.754,19.188,2.332,74.967
cifar100,gaussian,0.3,B,21.177,0.176,20.38,0.304,21.767,1.68,44.3
cifar100,gaussian,0.5,A,9.627,0.676,8.15,0.975,19.496,2.548,74.333
cifar100,gaussian,0.5,B,21.003,0.386,20.02,0.312,21.485,3.834,44.967
cifar100,gaussian,0.7,A,9.293,0.344,7.64,0.584,19.465,2.252,75.767
cifar100,gaussian,0.7,B,22.217,0.697,20.593,0.911,18.961,2.663,45.067
cifar100,kcenter,0.3,A,16.05,0.238,13.243,0.142,7.293,0.653,126.667
cifar100,kcenter,0.3,B,23.317,0.304,21.567,0.319,8.256,0.422,94.767
cifar100,kcenter,0.5,A,15.66,0.442,12.903,0.379,7.571,0.734,139.133
cifar100,kcenter,0.5,B,22.737,0.502,21.027,0.571,8.357,0.24,96.133
cifar100,kcenter,0.7,A,15.46,0.295,12.503,0.212,7.628,0.711,140.167
cifar100,kcenter,0.7,B,22.63,0.157,20.447,0.166,9.119,0.888,96.133
cifar100,margin,0.3,A,9.623,0.208,8.223,0.386,18.968,1.976,75.567
cifar100,margin,0.3,B,20.963,0.299,20.087,0.346,22.577,2.488,43.333
cifar100,margin,0.5,A,9.637,0.225,8.213,0.412,18.123,1.835,75.467
cifar100,margin,0.5,B,21.49,0.342,20.41,0.34,22.478,4.703,43.667
cifar100,margin,0.7,A,9.33,0.125,7.763,0.265,19.025,2.229,75.7
cifar100,margin,0.7,B,22.02,0.76,20.28,0.799,19.726,2.902,44.233
cifar100,random,0.3,A,15.94,0.291,13.927,0.471,13.004,1.109,66.2
cifar100,random,0.3,B,23.727,0.327,22.293,0.196,16.597,1.614,34.0
cifar100,random,0.5,A,15.747,0.344,13.62,0.449,13.042,1.292,66.267
cifar100,random,0.5,B,23.53,0.646,21.99,0.541,16.958,2.029,34.4
cifar100,random,0.7,A,15.717,0.277,13.333,0.437,13.0,0.957,66.367
cifar100,random,0.7,B,23.183,0.575,21.49,0.474,17.109,2.178,34.767
