dataset,selector,pruning_rate,acc_mean_A,acc_std_A,R_mean_A,acc_mean_B,acc_std_B,R_mean_B,delta_acc,delta_R
cifar10,gaussian,0.3,35.317,1.333,13.917,51.37,0.608,14.357,16.05,0.44
cifar10,gaussian,0.5,35.39,0.845,13.911,50.473,0.484,13.946,15.08,0.035
cifar10,gaussian,0.7,34.47,0.289,14.013,50.743,0.649,12.153,16.27,-1.86
cifar10,kcenter,0.3,45.147,0.269,5.714,52.133,0.49,5.134,6.99,-0.58
cifar10,kcenter,0.5,45.237,0.248,5.653,52.337,0.379,5.204,7.1,-0.449
cifar10,kcenter,0.7,45.303,0.297,5.477,51.633,0.548,5.838,6.33,0.361
cifar10,margin,0.3,36.11,0.177,14.379,51.153,0.857,15.0,15.04,0.621
cifar10,margin,0.5,35.967,0.204,14.458,50.67,0.2,14.337,14.7,-0.121
cifar10,margin,0.7,36.017,0.41,15.111,50.977,0.674,12.979,14.96,-2.132
cifar10,random,0.3,45.97,0.976,9.322,53.313,0.24,12.082,7.34,2.76
cifar10,random,0.5,46.01,0.63,8.577,53.07,0.072,12.589,7.06,4.012
cifar10,random,0.7,45.733,0.602,8.082,52.433,0.172,11.51,6.7,3.428
cifar100,gaussian,0.3,9.67,0.519,19.188,21.177,0.176,21.767,11.51,2.579
cifar100,gaussian,0.5,9.627,0.676,19.496,21.003,0.386,21.485,11.38,1.989
cifar100,gaussian,0.7,9.293,0.344,19.465,22.217,0.697,18.961,12.92,-0.504
cifar100,kcenter,0.3,16.05,0.238,7.293,23.317,0.304,8.256,7.27,0.963
cifar100,kcenter,0.5,15.66,0.442,7.571,22.737,0.502,8.357,7.08,0.786
cifar100,kcenter,0.7,15.46,0.295,7.628,22.63,0.157,9.119,7.17,1.491
cifar100,margin,0.3,9.623,0.208,18.968,20.963,0.299,22.577,11.34,3.609
cifar100,margin,0.5,9.637,0.225,18.123,21.49,0.342,22.478,11.85,4.355
cifar100,margin,0.7,9.33,0.125,19.025,22.02,0.76,19.726,12.69,0.701
cifar100,random,0.3,15.94,0.291,13.004,23.727,0.327,16.597,7.79,3.593
cifar100,random,0.5,15.747,0.344,13.042,23.53,0.646,16.958,7.78,3.916
cifar100,random,0.7,15.717,0.277,13.0,23.183,0.575,17.109,7.47,4.109
