dataset,selector,pruning_rate,seed,condition,acc,f1,coverage_R,sigma,wall_clock_sec,timestamp
cifar10,random,0.3,42,A,46.85,46.33,8.121998,,65.2,2026-06-07 19:03:39
cifar10,random,0.3,123,A,44.92,44.13,9.908921,,65.9,2026-06-07 19:04:45
cifar10,random,0.3,456,A,46.14,45.36,9.936033,,66.1,2026-06-07 19:05:51
cifar10,random,0.5,42,A,46.63,46.08,7.270627,,66.7,2026-06-07 19:06:59
cifar10,random,0.5,123,A,45.37,44.38,8.794205,,66.0,2026-06-07 19:08:05
cifar10,random,0.5,456,A,46.03,45.14,9.666395,,66.5,2026-06-07 19:09:12
cifar10,random,0.7,42,A,46.38,45.77,7.416274,,65.9,2026-06-07 19:10:18
cifar10,random,0.7,123,A,45.19,44.28,8.041252,,66.6,2026-06-07 19:11:25
cifar10,random,0.7,456,A,45.63,44.79,8.787115,,66.2,2026-06-07 19:12:32
cifar10,margin,0.3,42,A,36.27,35.68,10.373125,,74.8,2026-06-07 19:13:47
cifar10,margin,0.3,123,A,35.92,35.36,18.894297,,75.5,2026-06-07 19:15:03
cifar10,margin,0.3,456,A,36.14,35.47,13.868814,,75.0,2026-06-07 19:16:19
cifar10,margin,0.5,42,A,35.92,35.24,10.639358,,74.7,2026-06-07 19:17:34
cifar10,margin,0.5,123,A,35.79,35.05,18.62542,,73.6,2026-06-07 19:18:48
cifar10,margin,0.5,456,A,36.19,35.68,14.108604,,73.4,2026-06-07 19:20:02
cifar10,margin,0.7,42,A,36.01,35.4,11.648055,,73.1,2026-06-07 19:21:15
cifar10,margin,0.7,123,A,35.61,35.06,19.716105,,73.8,2026-06-07 19:22:29
cifar10,margin,0.7,456,A,36.43,35.73,13.968684,,73.7,2026-06-07 19:23:43
cifar10,kcenter,0.3,42,A,45.26,44.16,5.332654,,125.5,2026-06-07 19:25:49
cifar10,kcenter,0.3,123,A,45.34,44.35,5.880847,,125.5,2026-06-07 19:27:55
cifar10,kcenter,0.3,456,A,44.84,43.08,5.928868,,126.8,2026-06-07 19:30:03
