dataset,method,pruning_rate,sigma_multiplier,acc_mean,acc_std,f1_mean,R_mean
cifar10,gaussian,0.0,0.25,38.263,0.879,37.363,7.677
cifar10,gaussian,0.0,0.5,34.433,0.666,33.527,11.942
cifar10,gaussian,0.0,1.0,34.933,0.643,34.153,13.559
cifar10,gaussian,0.0,2.0,34.967,0.307,34.027,14.206
cifar10,gaussian,0.0,4.0,34.89,0.475,34.067,15.331
cifar10,gaussian,0.5,0.25,38.55,0.587,38.027,7.783
cifar10,gaussian,0.5,0.5,34.593,0.756,33.973,11.983
cifar10,gaussian,0.5,1.0,34.743,1.14,33.613,14.25
cifar10,gaussian,0.5,2.0,34.52,0.579,33.893,15.323
cifar10,gaussian,0.5,4.0,34.353,0.589,33.033,13.654
cifar10,inverse_gaussian,0.0,0.25,34.52,0.272,33.827,16.687
cifar10,inverse_gaussian,0.0,0.5,34.737,0.58,33.73,17.689
cifar10,inverse_gaussian,0.0,1.0,34.45,0.767,33.67,19.856
cifar10,inverse_gaussian,0.0,2.0,34.17,0.676,33.213,19.139
cifar10,inverse_gaussian,0.0,4.0,34.447,0.295,33.69,19.019
cifar10,inverse_gaussian,0.5,0.25,34.787,0.424,34.01,16.162
cifar10,inverse_gaussian,0.5,0.5,34.327,1.526,33.477,17.513
cifar10,inverse_gaussian,0.5,1.0,34.727,1.621,34.14,17.558
cifar10,inverse_gaussian,0.5,2.0,34.857,0.445,34.52,20.582
cifar10,inverse_gaussian,0.5,4.0,34.523,0.244,34.08,17.932
cifar100,gaussian,0.0,0.25,9.97,0.2,8.71,10.022
cifar100,gaussian,0.0,0.5,8.573,0.372,7.02,13.138
cifar100,gaussian,0.0,1.0,8.49,0.269,6.727,14.972
cifar100,gaussian,0.0,2.0,8.4,0.395,6.623,16.0
cifar100,gaussian,0.0,4.0,8.383,0.261,6.653,16.209
cifar100,gaussian,0.5,0.25,10.843,0.238,9.88,9.744
cifar100,gaussian,0.5,0.5,9.36,0.665,7.93,16.089
cifar100,gaussian,0.5,1.0,9.367,0.414,7.943,19.46
cifar100,gaussian,0.5,2.0,9.323,0.348,7.857,18.418
cifar100,gaussian,0.5,4.0,9.627,0.22,8.21,20.15
cifar100,inverse_gaussian,0.0,0.25,8.443,0.33,6.75,16.099
cifar100,inverse_gaussian,0.0,0.5,8.25,0.536,6.52,16.247
cifar100,inverse_gaussian,0.0,1.0,7.957,0.35,6.18,16.869
cifar100,inverse_gaussian,0.0,2.0,7.887,0.387,6.17,17.154
cifar100,inverse_gaussian,0.0,4.0,8.097,0.395,6.31,18.015
cifar100,inverse_gaussian,0.5,0.25,9.347,0.639,8.08,19.101
cifar100,inverse_gaussian,0.5,0.5,9.27,0.25,7.913,21.299
cifar100,inverse_gaussian,0.5,1.0,9.273,0.596,7.867,19.958
cifar100,inverse_gaussian,0.5,2.0,9.123,0.674,7.807,21.29
cifar100,inverse_gaussian,0.5,4.0,9.4,0.563,8.18,21.12
