exp_type,dataset,method,pruning_rate,seed,sigma,sigma_multiplier,acc,f1,coverage_R,timestamp
ablation,cifar10,gaussian,0.0,42,2.0306074619293213,0.25,38.72,38.28,9.029199,2026-06-08 08:33:28
ablation,cifar10,inverse_gaussian,0.0,42,2.0306074619293213,0.25,34.48,34.03,13.878325,2026-06-08 08:34:37
ablation,cifar10,gaussian,0.0,42,4.061214923858643,0.5,34.1,33.09,11.114563,2026-06-08 08:35:46
ablation,cifar10,inverse_gaussian,0.0,42,4.061214923858643,0.5,34.71,33.69,15.835363,2026-06-08 08:36:55
ablation,cifar10,gaussian,0.0,42,8.122429847717285,1.0,35.47,34.46,12.663086,2026-06-08 08:38:05
ablation,cifar10,inverse_gaussian,0.0,42,8.122429847717285,1.0,34.52,33.91,16.146221,2026-06-08 08:39:13
ablation,cifar10,gaussian,0.0,42,16.24485969543457,2.0,35.29,34.23,11.692347,2026-06-08 08:40:20
ablation,cifar10,inverse_gaussian,0.0,42,16.24485969543457,2.0,34.53,33.92,16.491812,2026-06-08 08:41:29
ablation,cifar10,gaussian,0.0,42,32.48971939086914,4.0,35.4,34.67,9.845447,2026-06-08 08:42:38
ablation,cifar10,inverse_gaussian,0.0,42,32.48971939086914,4.0,34.75,33.95,17.028187,2026-06-08 08:43:47
ablation,cifar10,gaussian,0.0,123,2.044079065322876,0.25,38.82,38.12,7.09408,2026-06-08 08:44:57
ablation,cifar10,inverse_gaussian,0.0,123,2.044079065322876,0.25,34.27,33.57,21.467604,2026-06-08 08:46:05
ablation,cifar10,gaussian,0.0,123,4.088158130645752,0.5,35.2,34.65,10.10241,2026-06-08 08:47:14
ablation,cifar10,inverse_gaussian,0.0,123,4.088158130645752,0.5,35.33,34.68,20.341885,2026-06-08 08:48:24
ablation,cifar10,gaussian,0.0,123,8.176316261291504,1.0,35.11,34.52,16.336691,2026-06-08 08:49:32
ablation,cifar10,inverse_gaussian,0.0,123,8.176316261291504,1.0,35.18,34.41,27.104885,2026-06-08 08:50:40
ablation,cifar10,gaussian,0.0,123,16.352632522583008,2.0,34.68,34.01,16.535889,2026-06-08 08:51:48
ablation,cifar10,inverse_gaussian,0.0,123,16.352632522583008,2.0,34.59,33.79,25.301483,2026-06-08 08:52:57
ablation,cifar10,gaussian,0.0,123,32.705265045166016,4.0,34.81,34.2,18.935595,2026-06-08 08:54:05
ablation,cifar10,inverse_gaussian,0.0,123,32.705265045166016,4.0,34.43,33.74,24.353619,2026-06-08 08:55:13
ablation,cifar10,gaussian,0.0,456,2.011025905609131,0.25,37.25,35.69,6.906351,2026-06-08 08:56:23
ablation,cifar10,inverse_gaussian,0.0,456,2.011025905609131,0.25,34.81,33.88,14.716237,2026-06-08 08:57:31
ablation,cifar10,gaussian,0.0,456,4.022051811218262,0.5,34.0,32.84,14.608588,2026-06-08 08:58:39
ablation,cifar10,inverse_gaussian,0.0,456,4.022051811218262,0.5,34.17,32.82,16.889341,2026-06-08 08:59:48
ablation,cifar10,gaussian,0.0,456,8.044103622436523,1.0,34.22,33.48,11.678555,2026-06-08 09:00:57
ablation,cifar10,inverse_gaussian,0.0,456,8.044103622436523,1.0,33.65,32.69,16.315565,2026-06-08 09:02:06
ablation,cifar10,gaussian,0.0,456,16.088207244873047,2.0,34.93,33.84,14.38986,2026-06-08 09:03:15
